GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
140457,66F82268-F685-4091-9C34-4234E6C0AE23,"Coordination romande institutions de lutte contre le VIH/sida.""Femmes migrantes d'origine subsaharienne et VIH : gestion d'un secret et rapport à la santé""",2013-09-12,"Lausanne, Switzerland",Other administration / public sector,Talk,nan
140457,B966DB33-35A9-42BA-AA0A-B92C46DC9BFD,"Séminaire de Master ""Femmes d'origine sub-sahariennes et rapport à la santé""",2013-09-17,"Fribourg, Switzerland",Other administration / public sector,Self-organised,nan
140457,04881A7B-A2FE-4B88-9566-C076EC9FB7D2,"Colloque VIH, service des maladies infectieuses HUG, ""Dire ou taire le VIH aux partenaires sexuels: les enejux du dévoilement chez les femmes Africaines séropositives en Suisse""",2017-04-04,"Genève, Switzerland",Other foundations / NGOs,Talk,nan
140457,BEDFC86B-46AD-4A6B-8891-28B064FD4592,Master Sociétés plurielles: Femmes subsahariennes et séropositives,2013-05-16,"Fribourg, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
141954,F74A64F5-0622-4BF8-8DF0-2AEE62739AA4,Diversity Talk,2017-01-27,"Solothurn, Switzerland",Industry / private companies,Talk,nan
141954,4BA990BB-68D7-4946-8F95-A62228D20C0C,SP Frauen Bildungstagung: Gleichstellungspolitische Herausforderungen in der Schweiz,2017-11-18,"St. Gallen, Switzerland",Other foundations / NGOs,Talk,nan
141954,20E0F048-7F6E-4232-8610-A81769FAB7DE,‘Walk the Talk‘ - Zwischentöne organisationaler Geschlechtergleichstellung,2016-06-09,"Olten, Switzerland",Industry / private companies,Talk,nan
141954,52A58CAA-FC33-463E-9716-B9CAD413FDD4,Innerhalb der Tagung der Fachgesellschaften für Geschlechterforschung/-studien: Leitung der Panels: Organisation von Diversität und Inklusion I + II,2017-09-28,"Köln, Germany",Other administration / public sector,Self-organised,nan
169959,9AADCF85-5C71-455D-9C18-673FD5B6DAF1,Presentation of IMCR activities to funders of Krebsliga Schweiz,2018-09-10,"Zurich, Switzerland",Other administration / public sector,Talk,nan
169204,9499487C-D544-4679-9579-E4F7D3D949D7,SKINTEGRITY Public Event,2019-04-16,"Zurich, Switzerland",Other foundations / NGOs,Talk,nan
